,naf_distance,naf_velocity
290,-51.02500000000006,-5.1017
291,-50.035000000000025,-5.1954
292,-49.03400000000039,-4.0949
293,-48.04400000000038,-4.1486
294,-47.054000000000315,-5.6925
295,-41.102999999999724,-4.694
296,-40.11300000000048,-5.2263
297,-39.11200000000008,-4.9351
298,-38.12200000000004,-3.5933
299,-37.132000000000005,-2.8596
300,-36.14199999999997,-2.2758
301,-35.15199999999993,-1.7136
302,-34.151000000000295,-0.8439
303,-33.161000000000286,-0.8073
304,-31.18100000000021,-0.6567
305,-30.191000000000145,0.2037
306,-29.18999999999977,0.081
307,-28.2000000000005,0.4377
308,-27.210000000000463,0.3308
309,-26.220000000000425,0.9844
310,-25.230000000000388,2.0794
311,-24.24000000000035,1.1269
312,-23.238999999999947,0.5645
313,-22.24899999999991,0.6575
314,-21.258999999999872,1.5579
315,-20.268999999999835,2.4669
316,-19.278999999999797,3.1429
317,-18.27800000000019,3.1962
318,-17.288000000000125,3.2372
319,-16.298000000000116,3.6927
320,-15.30800000000005,4.2806
321,-14.31800000000004,4.1961
322,-13.317000000000405,2.972
323,-12.327000000000368,2.511
324,-11.33700000000033,2.8602
325,-10.347000000000293,2.5283
326,-9.357000000000255,2.6347
327,-8.355999999999852,2.7961
328,-7.365999999999815,2.6902
329,-6.375999999999777,2.0664
330,-5.38599999999974,2.5896
331,-4.39600000000047,3.7597
332,-3.4060000000004607,3.5268
333,-180.0,-19.4562
334,-178.99900000000036,-18.9677
335,-178.00900000000036,-18.7832
336,-177.0190000000003,-18.6005
337,-174.03799999999984,-20.5534
338,-173.04799999999977,-19.477
339,-171.0680000000005,-20.9922
340,-170.07800000000046,-21.1619
341,-169.08800000000042,-20.357
342,-168.08700000000002,-19.3977
343,-167.09699999999998,-19.5301
344,-166.10699999999994,-18.5403
345,-165.1169999999999,-18.1859
346,-164.12699999999987,-17.9512
347,-163.12600000000026,-17.8353
348,-162.1360000000002,-14.2973
349,-161.14600000000019,-17.95
350,-160.15600000000012,-18.3322
351,-159.1660000000001,-18.592
352,-158.16500000000048,-20.9258
353,-157.17500000000044,-21.9584
354,-156.1850000000004,-21.9787
355,-155.19500000000036,-21.7703
356,-154.20500000000033,-20.2943
357,-153.20399999999992,-19.0788
358,-152.21399999999988,-21.0193
359,-151.22399999999985,-21.3168
360,-150.2339999999998,-23.8909
361,-149.24399999999977,-22.2506
362,-148.24300000000017,-22.1212
363,-147.2530000000001,-21.6659
364,-146.2630000000001,-23.1334
365,-145.27300000000002,-22.7431
366,-142.29200000000034,-23.1198
367,-141.3020000000003,-22.8759
368,-140.31200000000027,-22.1645
369,-139.32200000000023,-21.6652
370,-138.3320000000002,-20.057
371,-137.3309999999998,-17.0652
372,-136.34099999999975,-15.7445
373,-135.3510000000005,-14.7528
374,-134.36100000000044,-18.8519
375,-133.37100000000044,-20.3316
376,-132.37,-21.0177
377,-131.38,-21.0039
378,-130.38999999999993,-22.0305
379,-129.39999999999992,-21.1719
380,-128.40999999999985,-19.0909
381,-127.40900000000025,-18.0062
382,-126.41900000000021,-18.5285
383,-125.42900000000017,-18.8153
384,-124.43900000000014,-18.7012
385,-123.4490000000001,-19.6039
386,-122.45900000000006,-21.3617
387,-121.45800000000044,-20.4365
388,-119.47800000000036,-19.6038
389,-118.48800000000033,-21.0977
390,-117.49800000000029,-20.0641
391,-116.49699999999989,-18.6626
392,-115.50699999999985,-19.4911
393,-114.51699999999981,-23.149
394,-113.52699999999977,-34.2194
395,-112.53700000000052,-24.9611
396,-111.53600000000012,-16.9211
397,-110.54600000000008,-15.3395
398,-109.55600000000004,-13.9177
399,-108.566,-15.6425
400,-107.57599999999996,-22.4445
401,-106.57500000000034,-23.2297
402,-105.5850000000003,-19.4578
403,-104.59500000000027,-20.7825
404,-103.60500000000023,-25.8234
405,-102.6150000000002,-31.1346
406,-101.61399999999979,-19.1112
407,-100.62399999999975,-15.3719
408,-99.6340000000005,-16.3077
409,-98.64400000000046,-16.6234
410,-97.65400000000042,-16.414
411,-96.66400000000039,-16.6352
412,-95.66299999999998,-15.7426
413,-94.67299999999994,-15.5138
414,-93.68299999999991,-14.312
415,-92.69299999999987,-14.4817
416,-91.70299999999983,-15.9582
417,-90.70200000000021,-15.3329
418,-89.71200000000017,-14.5839
419,-88.72200000000014,-14.6697
420,-87.7320000000001,-14.055
421,-86.74200000000006,-16.4518
422,-85.74100000000044,-16.016
423,-84.7510000000004,-12.8083
424,-83.76100000000037,-14.9121
425,-82.77100000000033,-14.4687
426,-81.78100000000029,-13.3833
427,-80.77999999999989,-11.8596
428,-79.78999999999985,-12.7531
429,-78.79999999999981,-13.5888
430,-77.80999999999977,-13.5953
431,-76.81999999999974,-13.3566
432,-75.83000000000048,-13.4294
433,-74.82900000000008,-13.2397
434,-73.83900000000004,-12.6737
435,-72.849,-12.6826
436,-71.85899999999997,-11.8127
437,-70.86899999999993,-13.2856
438,-69.86800000000031,-12.9968
439,-68.87800000000027,-12.7289
440,-67.88800000000023,-12.2286
441,-66.8980000000002,-11.5137
442,-65.90800000000016,-11.0142
443,-64.90699999999975,-12.3851
444,-63.9170000000005,-14.0969
445,-62.92700000000046,-11.9953
446,-61.937000000000424,-11.2878
447,-60.947000000000386,-13.568
448,-59.945999999999984,-11.8782
449,-58.955999999999946,-9.9753
450,-57.96599999999991,-9.3736
451,-56.97599999999987,-9.046
452,-55.985999999999834,-8.2544
453,-54.98500000000021,-6.954
454,-53.995000000000175,-5.8226
455,-53.00500000000014,-5.0379
456,-52.0150000000001,-5.4031
457,-51.02500000000006,-4.9171
458,-50.035000000000025,-5.0998
459,-49.03400000000039,-3.5944
460,-48.04400000000038,-3.8145
461,-47.054000000000315,-3.2522
462,-46.064000000000306,-0.003
463,-41.102999999999724,-4.5662
464,-40.11300000000048,-3.8364
465,-39.11200000000008,-4.113
466,-38.12200000000004,-3.6352
467,-37.132000000000005,-3.3222
468,-36.14199999999997,-2.3459
469,-35.15199999999993,-1.6432
470,-34.151000000000295,-0.8628
471,-33.161000000000286,-0.9543
472,-32.17100000000022,-0.6191
473,-31.18100000000021,-0.4255
474,-30.191000000000145,0.1223
475,-29.18999999999977,0.2034
476,-28.2000000000005,0.4813
477,-27.210000000000463,0.8329
478,-26.220000000000425,1.7171
479,-25.230000000000388,2.5797
480,-24.24000000000035,1.1651
481,-23.238999999999947,0.1624
482,-22.24899999999991,0.8266
483,-21.258999999999872,1.7578
484,-20.268999999999835,2.5165
485,-19.278999999999797,3.0197
486,-18.27800000000019,2.8362
487,-17.288000000000125,2.8418
488,-16.298000000000116,3.2646
489,-15.30800000000005,3.2639
490,-14.31800000000004,2.9828
491,-13.317000000000405,2.6872
492,-12.327000000000368,2.1666
493,-11.33700000000033,2.4795
494,-10.347000000000293,2.517
495,-9.357000000000255,2.4821
496,-8.355999999999852,2.9215
497,-7.365999999999815,3.0956
498,-6.375999999999777,2.6031
499,-5.38599999999974,2.9556
500,-4.39600000000047,3.6336
501,-3.4060000000004607,3.9326
502,-180.0,-21.5994
503,-178.99900000000036,-19.0724
504,-178.00900000000036,-18.8624
505,-177.0190000000003,-18.6573
